iter	PRAUC	Logloss
0	0.6869748633	0.6865744264
1	0.6880755278	0.680595109
2	0.6895186725	0.6749673391
3	0.6887922955	0.6699426412
4	0.6889959013	0.6654232034
5	0.6897456055	0.6613260279
6	0.6901524981	0.6575902384
7	0.6913605787	0.6543869931
8	0.691643279	0.6513686283
9	0.6919017915	0.6486860302
10	0.6925308277	0.6462032258
11	0.6926602457	0.6438272018
12	0.6932150821	0.6417656926
13	0.6937593197	0.6398649148
14	0.6939498897	0.6380406942
15	0.6944352583	0.6364456693
16	0.6948045511	0.6349667507
17	0.6950276557	0.6336365461
18	0.6954391234	0.6324031275
19	0.6957134342	0.6312121323
20	0.6961863809	0.6302277241
21	0.6967059763	0.6292663385
22	0.6970946219	0.62833623
23	0.6975739097	0.627503281
24	0.6978394356	0.626659207
25	0.6981528659	0.6258615682
26	0.6983838094	0.6252529159
27	0.698590336	0.6246006915
28	0.698882827	0.6240515218
29	0.6991786942	0.623489063
30	0.6994040976	0.6229662807
31	0.6996083866	0.6224432267
32	0.6997925487	0.6219709089
33	0.7000067164	0.6215501615
34	0.7004913162	0.62106118
35	0.7008200905	0.6205750642
36	0.701080162	0.6202019776
37	0.7013424302	0.6198523136
38	0.7014163467	0.6195280142
39	0.7016089877	0.6191882398
40	0.7017235201	0.6188886626
41	0.701896386	0.61860242
42	0.702121327	0.6182539918
43	0.7024112231	0.6179920368
44	0.7025709617	0.6177724719
45	0.7026649414	0.6175635807
46	0.702827005	0.6173333927
47	0.7030349575	0.617080817
48	0.7033381845	0.6167724562
49	0.7034558107	0.6166010151
50	0.7036361339	0.6163854025
51	0.7039268993	0.6161250636
52	0.7041590664	0.6158846186
53	0.7043391369	0.6157080232
54	0.7044422662	0.6155122473
55	0.7045854356	0.6153004759
56	0.7046883235	0.6151237723
57	0.7048824018	0.6148955229
58	0.7050140975	0.614730481
59	0.705190744	0.614575196
60	0.705366542	0.61440609
61	0.7054920139	0.6142686954
62	0.7056214993	0.6141244486
63	0.7057832914	0.6140115412
64	0.7060286957	0.6138468545
65	0.7061708578	0.6137303193
66	0.7063114306	0.6135971416
67	0.7064781793	0.6134732689
68	0.7065992974	0.6133523643
69	0.7066866482	0.6132378243
70	0.7068474828	0.6130724528
71	0.7069493709	0.6129709851
