iter	Passed	Remaining
0	1021	815995
1	1798	717623
2	2659	706482
3	3506	697890
4	4205	668667
5	5028	665391
6	5865	664470
7	6749	668246
8	7471	656693
9	8392	663027
10	9270	664969
11	10123	664763
12	10985	665066
13	11996	673544
14	12917	676012
15	13901	681162
16	14801	681724
17	15740	683845
18	16704	686624
19	17645	688168
20	18623	690842
21	19656	695134
22	20628	696874
23	21616	698922
24	22609	700909
25	23573	701775
26	24722	707793
27	25671	707808
28	26651	708563
29	27671	710242
30	28585	709110
31	29727	713467
32	30683	713153
33	31756	715459
34	32780	716495
35	33839	718150
36	34804	717718
37	35732	716536
38	36757	717244
39	37690	716110
40	38597	714518
41	39540	713610
42	40607	714883
43	41504	713119
44	42465	712482
45	43459	712356
46	44457	712261
47	45421	711605
48	46317	709888
49	47325	709881
50	48445	711488
51	49354	709939
52	50430	710782
53	51327	709082
54	52361	709259
55	53466	710335
56	54426	709450
57	55382	708508
58	56396	708306
59	57344	707251
60	58431	707885
61	59414	707229
62	60361	706138
63	61304	704999
64	62230	703680
65	63263	703565
66	64321	703697
67	65414	704163
68	66299	702385
69	67297	701812
70	68298	701257
71	69258	700277
72	70294	700051
73	71209	698619
74	72298	698882
75	73270	697997
76	74298	697633
77	75262	696662
78	76351	696825
79	77392	696534
80	78328	695290
81	79289	694269
82	80401	694551
83	81304	693025
84	82315	692418
85	83418	692563
86	84496	692485
87	85450	691373
88	86375	690036
89	87439	689801
90	88442	689075
91	89420	688152
92	90411	687323
93	91404	686505
94	92249	684586
95	93284	684087
96	94220	682857
97	95147	681570
98	96067	680236
99	97071	679501
100	98035	678485
101	99055	677851
102	100038	676962
103	101033	676149
104	102031	675350
105	103100	675018
106	104053	673919
107	105006	672817
108	106007	672029
109	106980	671062
110	107804	669165
111	108858	668702
112	109844	667813
113	110866	667143
114	111937	666759
115	112921	665847
116	113973	665333
117	114933	664275
118	115843	662937
119	116872	662277
120	117826	661190
121	118755	659970
122	119756	659145
123	120699	658007
124	121660	656968
125	122660	656134
126	123642	655207
127	124513	653693
128	125572	653174
129	126524	652089
130	127482	651034
131	128465	650111
132	129439	649142
133	130456	648387
134	131476	647641
135	132501	646919
136	133503	646078
137	134456	645001
138	135429	644021
139	136369	642884
140	137380	642081
141	138286	640790
142	139349	640229
143	140310	639193
144	141355	638538
145	142374	637757
146	143319	636648
147	144335	635855
148	145334	634985
149	146260	633793
150	147225	632778
151	148103	631389
152	149023	630184
153	150012	629273
154	150954	628167
155	151929	627196
156	153028	626733
157	154032	625878
158	155079	625194
159	156069	624276
160	156948	622921
161	157923	621945
162	158877	620891
163	159857	619934
164	160815	618895
165	161774	617862
166	162736	616838
167	163754	616029
168	164794	615296
169	165763	614298
170	166827	613650
